beta_labels,beta_frequency_semantic_phonology,model_names,optimal_nLLs,random_nLLs,N,subject
"[1, 0]","[2.118849817862145, 3.3959017925169173, 2.4607206233039527]",psyrev static simdrop,161.8893176595244,192.78296283333663,29,50001
"[1, 1]","[2.118849817862145, 3.3959017925169173, 2.4607206233039527]",psyrev static troyer,161.8893176595244,192.78296283333663,29,50001
"[1, 2]","[2.118849817862145, 3.3959017925169173, 2.4607206233039527]",psyrev static participant,161.8893176595244,192.78296283333663,29,50001
"[2, 0]","[2.025309820356738, 4.01097268731335, -4.5538641693241075]",psyrev dynamic simdrop,161.4554816807209,192.78296283333663,29,50001
"[2, 1]","[2.0614933395347323, 3.635874669687796, 0.6848530167994267]",psyrev dynamic troyer,169.91939378168007,192.78296283333663,29,50001
"[2, 2]","[2.094895627170911, 3.750013354769463, 0.8664686217749975]",psyrev dynamic participant,162.83570411983325,192.78296283333663,29,50001
"[3, 0]","[2.1135685319931374, 3.671697515432912, -0.0818025287352747]",static plocal simdrop,160.74793147806713,192.78296283333663,29,50001
"[3, 1]","[2.1135685319931374, 3.671697515432912, -0.0818025287352747]",static plocal troyer,160.74793147806713,192.78296283333663,29,50001
"[3, 2]","[2.1135685319931374, 3.671697515432912, -0.0818025287352747]",static plocal participant,160.74793147806713,192.78296283333663,29,50001
"[4, 0]","[2.0116919323142612, 4.41066555721242, -0.09311918128375171]",dynamic pglobal simdrop,160.08134397612486,192.78296283333663,29,50001
"[4, 1]","[2.0421425718988484, 3.861164283279944, -0.06370232216542758]",dynamic pglobal troyer,169.24855955198396,192.78296283333663,29,50001
"[4, 2]","[2.082431512587113, 4.072585062879254, -0.08529379396167246]",dynamic pglobal participant,161.6295675824443,192.78296283333663,29,50001
"[5, 0]","[2.036050699215675, 4.9246290434768785, -0.20268090585058252]",dynamic plocal simdrop,157.81586720015298,192.78296283333663,29,50001
"[5, 1]","[2.059721817264057, 3.977662135775803, -0.09557421296812857]",dynamic plocal troyer,169.22564283407561,192.78296283333663,29,50001
"[5, 2]","[2.085541016081536, 4.220406623866548, -0.12285118731421169]",dynamic plocal participant,161.0112179599812,192.78296283333663,29,50001
"[6, 0]","[2.035720960983517, 4.0097933952088844, 0.06363526023877804]",dynamic pswitchonly simdrop,161.18992961666078,192.78296283333663,29,50001
"[6, 1]","[2.051194654896122, 3.636807605066193, -0.03604092694824255]",dynamic pswitchonly troyer,169.80158995563414,192.78296283333663,29,50001
"[6, 2]","[2.096024726397909, 3.749996339734636, 0.019355400288512986]",dynamic pswitchonly participant,162.81864397158685,192.78296283333663,29,50001
"[1, 0]","[0.37211081521830613, 0.2919074499963703, 0.7020005119900573]",psyrev static simdrop,421.53899313726447,425.45205590805284,64,50002
"[1, 1]","[0.37211081521830613, 0.2919074499963703, 0.7020005119900573]",psyrev static troyer,421.53899313726447,425.45205590805284,64,50002
"[1, 2]","[0.37211081521830613, 0.2919074499963703, 0.7020005119900573]",psyrev static participant,421.53899313726447,425.45205590805284,64,50002
"[2, 0]","[0.4063653743200453, 0.5281751485492289, 0.351160022851316]",psyrev dynamic simdrop,419.36214531494005,425.45205590805284,64,50002
"[2, 1]","[0.2865719169089056, 4.442629798351808, -0.41343024871480843]",psyrev dynamic troyer,390.1671074487384,425.45205590805284,64,50002
"[2, 2]","[0.39521371188301935, 0.39433416679069555, 0.11318969141760041]",psyrev dynamic participant,421.5361297165231,425.45205590805284,64,50002
