item,subject,semantic,frequency,phonology,simdrop,troyer,participant
horse,50001,0.0001,3.676,0.0001,2,2,2.0
pig,50001,0.4698113151186582,3.3,0.0001,0,0,0.0
bear,50001,0.2978236977806581,3.467,0.0001,1,1,1.0
cat,50001,0.3832090752990034,3.529,0.0001,0,1,1.0
dog,50001,0.7609456880598081,3.993,0.0001,0,0,0.0
fish,50001,0.2331458533251281,3.629,0.0001,1,1,0.0
bird,50001,0.4940852463512547,3.365,0.0001,0,1,0.0
chicken,50001,0.4248479098680666,3.498,0.0001,1,0,1.0
duck,50001,0.4774656523609281,3.102,0.1999999999999999,0,0,0.0
goose,50001,0.5306288127278954,2.824,0.0001,0,1,0.0
hamster,50001,0.287191460149882,2.041,0.1666666666666666,1,1,1.0
rabbit,50001,0.5390870680565341,3.029,0.3333333333333333,0,0,0.0
squirrel,50001,0.6263883976866903,2.447,0.1666666666666666,0,0,0.0
zebra,50001,0.4385377457405515,2.111,0.1666666666666666,1,1,1.0
giraffe,50001,0.6372909742932493,1.887,0.0001,0,0,0.0
elephant,50001,0.5931813506573693,2.764,0.1428571428571429,0,0,0.0
flamingo,50001,0.4272136860880104,1.785,0.25,1,1,0.0
peacock,50001,0.5457661518489848,2.418,0.0001,0,0,0.0
lion,50001,0.3503858724817918,2.894,0.0001,1,1,0.0
tiger,50001,0.5121040691983272,2.976,0.25,0,0,0.0
buffalo,50001,0.4312030556107682,2.784,0.0001,1,0,0.0
goat,50001,0.568242734998376,2.731,0.0001,0,1,0.0
iguana,50001,0.4230084703540555,1.613,0.1666666666666666,1,1,1.0
anteater,50001,0.5897563957372436,1.079,0.0001,0,1,0.0
lemur,50001,0.5653053799146136,1.0,0.1666666666666666,1,1,0.0
frog,50001,0.5668362204114834,2.781,0.0001,0,1,0.0
hippo,50001,0.4723948374457031,1.863,0.0001,0,1,1.0
seal,50001,0.1614366988594883,2.877,0.0001,2,2,0.0
penguin,50001,0.2406967201173745,2.17,0.0001,2,2,0.0
rabbit,50002,0.0001,3.029,0.0001,2,2,2.0
rat,50002,0.5612435254552746,3.221,0.6,0,1,0.0
mouse,50002,0.4651035341635051,2.989,0.0001,1,0,0.0
cat,50002,0.4656626741204865,3.529,0.0001,0,1,0.0
dog,50002,0.7609456880598081,3.993,0.0001,0,0,0.0
ant,50002,0.2381059542868026,2.438,0.0001,0,1,1.0
bat,50002,0.1551983076701928,3.022,0.3333333333333333,1,1,1.0
beetle,50002,0.2403871092517946,2.025,0.4,0,1,0.0
snake,50002,0.4367355298762206,3.057,0.0001,0,1,1.0
