dataset,subject,domain,response_number,response,response_onset_time,IRT,participant_designated_switch
LEA,50001,animals,1,horse,2.594,2.594,2
LEA,50001,animals,2,pig,3.594,1,0
LEA,50001,animals,3,bear,4.894,1.3,1
LEA,50001,animals,4,cat,6.194,1.3,1
LEA,50001,animals,5,dog,7.394,1.2,0
LEA,50001,animals,6,fish,8.794,1.4,0
LEA,50001,animals,7,bird,10.294,1.5,0
LEA,50001,animals,8,chicken,13.094,2.8,1
LEA,50001,animals,9,duck,14.894,1.8,0
LEA,50001,animals,10,goose,16.294,1.4,0
LEA,50001,animals,11,hamster,21.194,4.9,1
LEA,50001,animals,12,rabbit,23.094,1.9,0
LEA,50001,animals,13,squirrel,25.094,2,0
LEA,50001,animals,14,zebra,27.594,2.5,1
LEA,50001,animals,15,giraffe,29.194,1.6,0
LEA,50001,animals,16,elephant,31.044,1.85,0
LEA,50001,animals,17,flamingo,32.894,1.85,0
LEA,50001,animals,18,peacock,34.794,1.9,0
LEA,50001,animals,19,lion,50.994,16.2,0
LEA,50001,animals,20,tiger,52.294,1.3,0
LEA,50001,animals,21,buffalo,58.694,6.4,0
LEA,50001,animals,22,goat,61.294,2.6,0
LEA,50001,animals,23,iguana,88.194,26.9,1
LEA,50001,animals,24,anteater,93.794,5.6,0
LEA,50001,animals,25,lemur,102.794,9,0
LEA,50001,animals,26,frog,125.094,22.3,0
LEA,50001,animals,27,hippo,164.494,39.4,1
LEA,50001,animals,28,seal,174.994,10.5,0
LEA,50001,animals,29,penguin,177.994,3,0
LEA,50002,animals,1,rabbit,2.169,2.169,2
LEA,50002,animals,2,rat,5.019,2.85,0
LEA,50002,animals,3,mouse,7.469,2.45,0
LEA,50002,animals,4,cat,8.819,1.35,0
LEA,50002,animals,5,dog,9.869,1.05,0
LEA,50002,animals,6,ant,11.169,1.3,1
LEA,50002,animals,7,bat,13.369,2.2,1
LEA,50002,animals,8,beetle,14.569,1.2,0
LEA,50002,animals,9,snake,18.319,3.75,1
LEA,50002,animals,10,lizard,19.469,1.15,0
LEA,50002,animals,11,camel,21.469,2,1
LEA,50002,animals,12,sheep,22.869,1.4,0
LEA,50002,animals,13,goat,24.069,1.2,0
LEA,50002,animals,14,bird,26.769,2.7,1
LEA,50002,animals,15,eagle,28.269,1.5,0
LEA,50002,animals,16,hawk,29.569,1.3,0
LEA,50002,animals,17,parrot,32.569,3,0
LEA,50002,animals,18,cockatoo,34.369,1.8,0
LEA,50002,animals,19,puma,39.469,5.1,1
LEA,50002,animals,20,lion,40.269,0.8,0
LEA,50002,animals,21,tiger,41.169,0.9,0
LEA,50002,animals,22,zebra,42.669,1.5,1
LEA,50002,animals,23,deer,43.619,0.95,0
LEA,50002,animals,24,moose,45.219,1.6,0
LEA,50002,animals,25,bear,47.169,1.95,1
LEA,50002,animals,26,polar_bear,51.669,4.5,0
LEA,50002,animals,27,salmon,57.869,6.2,1
